user,failed_logins,docs_accessed,session_duration_min,day_of_week,download_mb,own_section,role,entity_type,is_anomaly
user_27@scp.local,0,8,25.4,4,7.78,0.81,3,2,0
user_19@scp.local,0,6,10.5,3,36.39,0.91,5,1,0
user_15@scp.local,0,4,82.6,4,37.47,0.9,2,1,0
user_6@scp.local,0,4,90.3,0,31.15,0.81,4,1,0
user_35@scp.local,0,5,5.9,4,14.57,0.97,3,2,0
user_20@scp.local,0,6,50.7,4,36.7,0.82,4,1,0
user_13@scp.local,0,10,119.5,0,41.15,0.96,4,1,0
user_40@scp.local,0,78,28.6,3,19.57,0.92,4,2,1
user_21@scp.local,0,4,87.4,4,24.96,0.9,2,1,0
user_37@scp.local,0,2,89.4,1,1.88,0.91,5,2,0
user_50@scp.local,0,40,62.3,4,1547.13,0.82,5,2,1
user_10@scp.local,0,9,8.8,4,6.11,0.88,5,1,0
user_6@scp.local,0,8,106.7,4,40.87,0.98,3,1,0
user_6@scp.local,0,5,110.9,0,2.74,0.91,3,2,0
user_34@scp.local,0,4,24.7,2,43.71,0.83,2,1,0
user_50@scp.local,0,10,79.2,1,36.62,0.98,4,2,0
user_17@scp.local,0,2,102.2,1,11.44,0.81,1,2,0
user_45@scp.local,0,7,39.0,4,41.42,0.85,5,1,0
user_8@scp.local,0,6,76.1,2,26.65,0.86,3,2,0
user_1@scp.local,0,2,61.6,4,29.03,0.98,1,1,0
user_21@scp.local,0,3,75.8,3,11.36,0.83,1,1,0
user_20@scp.local,0,1,19.1,1,40.89,0.81,4,2,0
user_20@scp.local,0,6,115.3,0,35.01,0.94,5,1,0
user_39@scp.local,0,3,15.4,2,49.42,0.99,2,2,0
user_19@scp.local,0,37,12.3,3,28.66,0.07,1,2,1
user_19@scp.local,0,8,74.9,1,34.6,0.99,2,2,0
user_15@scp.local,0,7,34.1,0,4.37,0.96,2,1,0
user_41@scp.local,0,8,30.7,4,14.93,0.99,1,2,0
user_44@scp.local,0,8,5.6,0,46.89,0.87,2,1,0
user_50@scp.local,0,9,109.1,0,25.98,0.97,1,1,0
user_44@scp.local,0,1,24.4,3,41.74,0.99,2,2,0
user_29@scp.local,0,9,15.0,0,29.29,0.87,3,1,0
user_35@scp.local,0,36,93.2,0,45.59,0.1,4,2,1
user_48@scp.local,0,6,119.8,2,14.86,0.98,5,2,0
user_38@scp.local,0,81,35.2,1,1884.96,1.0,2,1,1
user_17@scp.local,0,9,15.2,0,37.53,0.92,2,2,0
user_35@scp.local,0,6,42.9,2,18.41,0.83,4,1,0
user_10@scp.local,0,8,18.3,4,48.63,0.83,1,1,0
user_6@scp.local,0,1,92.0,2,14.35,0.94,5,1,0
user_18@scp.local,0,4,82.2,3,22.73,0.91,4,2,0
user_13@scp.local,0,1,111.5,4,46.84,0.89,5,2,0
user_2@scp.local,0,1,56.4,0,23.33,0.95,2,1,0
user_3@scp.local,0,9,10.5,0,20.45,0.96,5,2,0
user_40@scp.local,0,7,110.3,4,3.58,0.99,4,2,0
